service,asset_class,symbol,classification,primary_value,bid,ask,age_seconds,timestamp_utc,timestamp_source,error_type,error_message,latency_ms,rpc_calls,notes
vwap,crypto,UNIARB,stale,43.25493431377619,,,138630.3,2026-09-23T00:12:20.434000+00:00,upstream,,,182,1,age 138630s > 300s
vwap,crypto,UNIARKM,error,,,,,,,BlocksizeAPIError[-32603],internal error,174,0,
vwap,crypto,UNIBADGER,error,,,,,,,BlocksizeAPIError[-32603],internal error,162,0,
vwap,crypto,UNIBAND,error,,,,,,,BlocksizeAPIError[-32603],internal error,143,0,
vwap,crypto,UNIBIFI,error,,,,,,,BlocksizeAPIError[-32603],internal error,167,0,
vwap,crypto,UNIBLUR,error,,,,,,,BlocksizeAPIError[-32603],internal error,192,0,
vwap,crypto,UNIBNB,error,,,,,,,BlocksizeAPIError[-32603],internal error,178,0,
vwap,crypto,UNIBOTDAI,error,,,,,,,BlocksizeAPIError[-32603],internal error,160,0,
vwap,crypto,UNIBOTETH,stale,0.0003084779183825158,,,36932.1,2026-09-24T04:27:19.987000+00:00,upstream,,,160,1,age 36932s > 300s
vwap,crypto,UNIBOTUSD,error,,,,,,,BlocksizeAPIError[-32603],internal error,170,0,
vwap,crypto,UNIBOTUSDC,error,,,,,,,BlocksizeAPIError[-32603],internal error,146,0,
vwap,crypto,UNIBOTUSDT,error,,,,,,,BlocksizeAPIError[-32603],internal error,149,0,
vwap,crypto,UNIBOTWETH,stale,0.0003084779183825158,,,36932.8,2026-09-24T04:27:19.987000+00:00,upstream,,,157,1,age 36933s > 300s
vwap,crypto,UNIBTC,ok,0.00010970719239403172,,,44.6,2026-09-24T14:42:08.373000+00:00,upstream,,,180,1,
vwap,crypto,UNIBTCBTC,stale,0.9931379821958456,,,22471.3,2026-09-24T08:28:21.835000+00:00,upstream,,,180,1,age 22471s > 300s
vwap,crypto,UNIBTCUSD,stale,82799.46227872488,,,19204.5,2026-09-24T09:22:48.754000+00:00,upstream,,,171,1,age 19205s > 300s
vwap,crypto,UNIBTCUSDC,stale,83874.60928107718,,,87102.1,2026-09-23T14:31:11.397000+00:00,upstream,,,167,1,age 87102s > 300s
vwap,crypto,UNIBTCUSDT,error,,,,,,,BlocksizeAPIError[-32603],internal error,143,0,
vwap,crypto,UNIBTCWBTC,stale,0.9931379821958456,,,22471.9,2026-09-24T08:28:21.835000+00:00,upstream,,,173,1,age 22472s > 300s
vwap,crypto,UNICBBTC,error,,,,,,,BlocksizeAPIError[-32603],internal error,198,0,
vwap,crypto,UNICHZ,error,,,,,,,BlocksizeAPIError[-32603],internal error,182,0,
vwap,crypto,UNICOMP,stale,0.40611308032529325,,,26050.1,2026-09-24T07:28:44.170000+00:00,upstream,,,159,1,age 26050s > 300s
vwap,crypto,UNICOW,error,,,,,,,BlocksizeAPIError[-32603],internal error,188,0,
vwap,crypto,UNICREAM,error,,,,,,,BlocksizeAPIError[-32603],internal error,201,0,
vwap,crypto,UNICRO,error,,,,,,,BlocksizeAPIError[-32603],internal error,185,0,
vwap,crypto,UNICRV,ok,26.847800326231706,,,202.2,2026-09-24T14:39:32.821000+00:00,upstream,,,157,1,
vwap,crypto,UNIDAI,stale,9.230026850628835,,,707.1,2026-09-24T14:31:08.092000+00:00,upstream,,,149,1,age 707s > 300s
vwap,crypto,UNIDYDX,error,,,,,,,BlocksizeAPIError[-32603],internal error,150,0,
vwap,crypto,UNIELON,error,,,,,,,BlocksizeAPIError[-32603],internal error,143,0,
vwap,crypto,UNIENA,error,,,,,,,BlocksizeAPIError[-32603],internal error,158,0,
vwap,crypto,UNIENJ,stale,332.6861862683241,,,58607.6,2026-09-23T22:26:08.247000+00:00,upstream,,,174,1,age 58608s > 300s
vwap,crypto,UNIENS,error,,,,,,,BlocksizeAPIError[-32603],internal error,158,0,
vwap,crypto,UNIETH,ok,0.003453307912505432,,,48.3,2026-09-24T14:42:07.904000+00:00,upstream,,,182,1,
vwap,crypto,UNIETHETH,stale,1.133377640686888,,,80988.5,2026-09-23T16:13:07.898000+00:00,upstream,,,175,1,age 80988s > 300s
vwap,crypto,UNIETHFRXETH,stale,1.142050448838589,,,145164.1,2026-09-22T22:23:32.486000+00:00,upstream,,,180,1,age 145164s > 300s
vwap,crypto,UNIETHUSD,error,,,,,,,BlocksizeAPIError[-32603],internal error,176,0,
